playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8478048,2025,Igor Shesterkin,NYR,G,other,34,1845.0,6.08,5.0,88.0,4.19,4.0,9.28,1.0,48.91,39.0,0.75,0.0,30.67,35.0,14.84,22.0,5.57,38.0,25.0,4.0,1.68,3.06,1.34,2.0,2.0,1.0,21.0,0.0,0.0
8478048,2025,Igor Shesterkin,NYR,G,all,34,120360.0,97.55,82.0,2008.0,73.24,118.0,256.9,180.0,1060.67,946.0,32.71,1.0,575.94,502.0,409.59,564.0,91.91,1095.0,258.0,96.0,34.14,31.68,31.73,34.0,25.0,23.0,559.0,4.0,2.0
8478048,2025,Igor Shesterkin,NYR,G,5on5,34,101011.0,65.56,51.0,1596.0,53.3,90.0,209.33,146.0,825.51,738.0,26.03,1.0,447.03,385.0,330.95,459.0,63.18,902.0,171.0,61.0,27.28,21.15,17.13,26.0,18.0,7.0,462.0,4.0,2.0
8478048,2025,Igor Shesterkin,NYR,G,4on5,34,9453.0,21.97,20.0,276.0,13.51,20.0,32.92,27.0,151.84,136.0,0.77,0.0,85.49,77.0,44.25,59.0,19.56,125.0,52.0,26.0,4.13,6.1,11.74,3.0,4.0,13.0,73.0,0.0,0.0
8478048,2025,Igor Shesterkin,NYR,G,5on4,34,8051.0,3.51,5.0,35.0,1.53,4.0,3.55,4.0,25.87,26.0,5.07,0.0,7.69,1.0,15.88,19.0,3.15,19.0,9.0,5.0,0.78,1.2,1.52,2.0,1.0,2.0,2.0,0.0,0.0
8481020,2025,Justus Annunen,NSH,G,other,16,1815.0,4.01,6.0,48.0,2.26,4.0,6.05,5.0,28.69,26.0,0.47,0.0,15.86,13.0,8.85,10.0,3.43,27.0,5.0,6.0,1.06,0.75,2.19,3.0,1.0,2.0,10.0,0.0,0.0
8481020,2025,Justus Annunen,NSH,G,all,16,49008.0,38.94,45.0,754.0,31.6,41.0,102.8,89.0,425.93,380.0,14.28,0.0,233.48,216.0,161.52,192.0,36.92,430.0,114.0,39.0,12.53,13.82,12.58,18.0,17.0,10.0,171.0,0.0,0.0
8481020,2025,Justus Annunen,NSH,G,5on5,16,39252.0,25.77,31.0,587.0,21.76,27.0,81.27,72.0,321.34,285.0,11.26,0.0,176.93,163.0,127.41,151.0,24.87,341.0,80.0,23.0,9.81,9.33,6.62,13.0,14.0,4.0,143.0,0.0,0.0
8481020,2025,Justus Annunen,NSH,G,4on5,16,4097.0,8.36,8.0,106.0,7.1,10.0,14.17,12.0,66.75,59.0,0.19,0.0,37.8,39.0,19.07,20.0,7.81,53.0,27.0,9.0,1.46,3.4,3.49,2.0,2.0,4.0,17.0,0.0,0.0
8481020,2025,Justus Annunen,NSH,G,5on4,16,3844.0,0.81,0.0,13.0,0.49,0.0,1.31,0.0,9.14,10.0,2.36,0.0,2.88,1.0,6.2,11.0,0.81,9.0,2.0,1.0,0.2,0.34,0.27,0.0,0.0,0.0,1.0,0.0,0.0
8478971,2025,Connor Ingram,EDM,G,other,10,799.0,0.85,0.0,20.0,0.71,1.0,2.21,3.0,10.22,11.0,0.45,0.0,6.14,6.0,3.77,4.0,0.83,10.0,4.0,0.0,0.35,0.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0
8478971,2025,Connor Ingram,EDM,G,all,10,34544.0,26.07,23.0,559.0,19.88,31.0,66.42,67.0,281.88,254.0,11.4,0.0,153.15,132.0,110.83,133.0,24.88,298.0,58.0,30.0,9.04,7.1,9.94,12.0,3.0,8.0,173.0,2.0,1.0
