team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2025,NYI,NYI,Team Level,other,45,0.51,0.53,0.53,7219.0,117.89,23.5,8.01,22.07,4.09,58.84,42.49,22.45,23.5,22.45,111.0,48.0,50.0,209.0,21.0,14.0,1.0,16.0,1.0,51.0,56.0,90.0,138.0,3.0,6.0,100.0,17.0,18.0,27.0,84.0,41.0,34.0,3.42,5.18,14.9,3.0,7.0,11.0,209.0,159.0,159.0,12.0,2.19,3.63,3.63,22.05,22.05,21.58,102.81,22.16,7.67,18.0,3.57,54.89,32.7,20.89,22.16,20.89,90.0,49.0,50.0,189.0,21.0,11.0,2.0,14.0,1.0,52.0,40.0,69.0,118.0,5.0,10.0,73.0,19.0,14.0,30.0,71.0,36.0,32.0,2.74,4.59,14.83,4.0,5.0,12.0,189.0,139.0,139.0,17.0,2.24,3.83,3.83,20.58,20.58,19.64
NYI,2025,NYI,NYI,Team Level,all,45,0.47,0.49,0.49,165430.0,1395.26,134.37,97.43,337.61,48.08,755.52,538.99,128.0,134.06,127.71,1258.0,654.0,688.0,2600.0,130.0,162.0,15.0,285.0,2.0,661.0,672.0,1128.0,1782.0,143.0,304.0,1276.0,834.0,200.0,676.0,1406.0,370.0,136.0,42.0,45.53,46.84,54.0,44.0,32.0,2598.92,1912.0,1907.24,330.0,21.75,33.65,33.9,122.23,121.87,118.97,1469.72,150.49,106.88,349.91,49.19,771.54,552.0,141.85,151.16,142.51,1282.0,698.0,767.0,2747.0,120.0,184.0,10.0,230.0,4.0,727.0,715.0,1162.0,1860.0,152.0,331.0,1223.0,864.0,200.0,698.0,1398.0,397.0,185.0,42.07,49.47,58.95,40.0,48.0,32.0,2752.48,1980.0,1986.26,306.0,24.18,37.89,37.89,136.78,137.32,133.11
NYI,2025,NYI,NYI,Team Level,5on5,45,0.46,0.48,0.49,133503.0,1038.96,84.99,67.03,265.58,35.43,563.16,412.81,82.31,84.67,82.03,929.0,500.0,535.0,1964.0,85.0,118.0,12.0,225.0,1.0,497.0,503.0,844.0,1344.0,126.0,271.0,933.0,804.0,160.0,580.0,1100.0,257.0,72.0,31.65,31.81,21.53,43.0,31.0,11.0,1962.92,1429.0,1424.24,295.0,13.89,22.93,23.18,75.71,75.34,74.25,1115.64,98.55,75.56,279.44,37.37,590.04,435.03,94.04,99.22,94.7,974.0,542.0,632.0,2148.0,75.0,130.0,4.0,190.0,3.0,557.0,561.0,899.0,1441.0,132.0,288.0,964.0,803.0,165.0,603.0,1114.0,297.0,105.0,33.96,36.85,27.74,34.0,34.0,7.0,2153.48,1516.0,1522.26,260.0,15.77,25.22,25.3,89.02,89.56,87.45
NYI,2025,NYI,NYI,Team Level,4on5,45,0.1,0.11,0.13,11680.0,30.75,2.92,1.77,5.16,1.16,10.84,21.14,2.91,2.92,2.91,34.0,9.0,2.0,45.0,5.0,1.0,0.0,3.0,0.0,10.0,24.0,29.0,38.0,3.0,6.0,104.0,10.0,16.0,22.0,31.0,10.0,2.0,1.05,1.3,0.57,2.0,1.0,2.0,45.0,43.0,43.0,17.0,0.4,0.01,0.01,3.32,3.32,3.3,214.55,25.88,21.91,47.22,7.23,116.39,60.37,23.07,25.88,23.07,186.0,93.0,79.0,358.0,19.0,39.0,3.0,26.0,0.0,105.0,90.0,167.0,260.0,12.0,24.0,90.0,16.0,5.0,38.0,188.0,48.0,43.0,4.78,5.96,15.14,2.0,5.0,12.0,358.0,279.0,279.0,5.0,5.76,8.11,8.02,23.62,23.62,22.47
NYI,2025,NYI,NYI,Team Level,5on4,45,0.85,0.88,0.86,13028.0,207.67,22.97,20.62,44.8,7.4,122.68,62.54,20.34,22.97,20.34,184.0,97.0,101.0,382.0,19.0,29.0,2.0,41.0,0.0,103.0,89.0,165.0,262.0,11.0,21.0,139.0,3.0,6.0,47.0,191.0,62.0,28.0,5.88,7.24,9.85,6.0,5.0,8.0,382.0,281.0,281.0,6.0,5.28,7.09,7.09,21.16,21.16,19.84,36.73,3.89,1.73,5.24,1.02,10.21,23.9,3.85,3.89,3.85,32.0,14.0,6.0,52.0,5.0,4.0,1.0,0.0,0.0,13.0,24.0,27.0,41.0,3.0,9.0,96.0,26.0,16.0,27.0,25.0,16.0,5.0,0.59,2.07,1.24,0.0,4.0,1.0,52.0,46.0,46.0,24.0,0.41,0.73,0.73,3.57,3.57,3.56
NYR,2025,NYR,NYR,Team Level,other,46,0.36,0.47,0.46,4745.0,75.51,15.21,5.5,13.55,2.87,46.56,26.31,14.02,15.21,14.02,66.0,44.0,42.0,152.0,17.0,5.0,2.0,13.0,0.0,46.0,29.0,49.0,93.0,4.0,8.0,61.0,6.0,5.0,17.0,61.0,25.0,24.0,2.31,2.99,9.91,2.0,7.0,8.0,152.0,110.0,110.0,11.0,1.52,1.4,1.4,15.34,15.34,14.19,93.01,26.69,6.7,15.11,3.35,49.86,28.28,24.53,26.69,24.53,79.0,51.0,38.0,168.0,25.0,9.0,1.0,3.0,0.0,54.0,39.0,54.0,105.0,2.0,4.0,54.0,9.0,3.0,15.0,60.0,34.0,36.0,2.24,4.22,20.22,3.0,3.0,19.0,168.0,130.0,130.0,4.0,1.91,2.7,2.04,26.56,26.56,25.38
NYR,2025,NYR,NYR,Team Level,all,46,0.47,0.49,0.49,167884.0,1389.46,131.0,97.76,334.61,47.74,762.58,536.3,125.31,131.94,126.2,1192.0,718.0,788.0,2698.0,118.0,133.0,17.0,249.0,3.0,721.0,686.0,1074.0,1792.0,155.0,340.0,1363.0,1192.0,205.0,672.0,1402.0,370.0,138.0,39.5,44.12,47.38,40.0,43.0,35.0,2696.27,1910.0,1912.14,330.0,21.82,26.76,26.83,125.98,126.71,122.89,1472.56,149.68,100.93,351.86,49.54,794.01,567.98,141.42,150.04,141.74,1310.0,704.0,774.0,2788.0,135.0,164.0,21.0,232.0,3.0,711.0,769.0,1175.0,1879.0,131.0,294.0,1167.0,912.0,210.0,700.0,1506.0,350.0,158.0,46.36,43.39,59.92,47.0,40.0,48.0,2800.66,2014.0,2022.94,354.0,22.46,34.26,34.62,137.51,137.73,133.78
NYR,2025,NYR,NYR,Team Level,5on5,46,0.49,0.49,0.49,139528.0,1073.01,86.91,70.92,273.15,36.97,583.37,424.68,84.28,87.86,85.17,917.0,559.0,659.0,2135.0,76.0,109.0,13.0,207.0,3.0,544.0,537.0,841.0,1400.0,145.0,317.0,1068.0,1134.0,169.0,583.0,1118.0,282.0,76.0,31.79,33.37,21.76,37.0,31.0,8.0,2133.27,1476.0,1478.14,288.0,14.75,21.11,21.19,80.47,81.2,80.1,1138.63,90.96,73.46,287.05,38.28,616.53,456.73,87.91,91.32,88.23,1006.0,557.0,640.0,2203.0,80.0,120.0,11.0,189.0,3.0,548.0,623.0,926.0,1483.0,120.0,269.0,901.0,879.0,188.0,609.0,1236.0,242.0,85.0,37.49,30.18,23.28,38.0,31.0,11.0,2215.66,1563.0,1571.94,320.0,15.22,22.68,23.0,83.17,83.38,82.18
NYR,2025,NYR,NYR,Team Level,4on5,46,0.11,0.11,0.13,12663.0,33.36,3.31,1.78,4.7,0.99,9.91,21.31,3.16,3.31,3.16,33.0,9.0,3.0,45.0,2.0,1.0,0.0,2.0,0.0,7.0,30.0,31.0,40.0,6.0,15.0,108.0,44.0,15.0,32.0,25.0,13.0,4.0,0.6,1.66,1.06,1.0,1.0,0.0,45.0,42.0,42.0,23.0,0.41,0.25,0.25,3.46,3.46,3.36,207.09,28.08,18.86,44.86,6.8,117.2,61.21,25.38,28.08,25.38,189.0,88.0,93.0,370.0,24.0,30.0,8.0,35.0,0.0,108.0,80.0,165.0,253.0,6.0,13.0,132.0,9.0,6.0,45.0,181.0,64.0,32.0,5.51,7.66,14.9,3.0,5.0,16.0,370.0,277.0,277.0,6.0,4.9,7.89,8.59,24.39,24.39,22.85
NYR,2025,NYR,NYR,Team Level,5on4,46,0.87,0.89,0.86,10948.0,207.59,25.56,19.57,43.21,6.92,122.74,64.01,23.86,25.56,23.86,176.0,106.0,84.0,366.0,23.0,18.0,2.0,27.0,0.0,124.0,90.0,153.0,259.0,0.0,0.0,126.0,8.0,16.0,40.0,198.0,50.0,34.0,4.8,6.11,14.65,0.0,4.0,19.0,366.0,282.0,282.0,8.0,5.15,3.99,3.99,26.71,26.71,25.24,33.83,3.96,1.92,4.83,1.12,10.42,21.75,3.6,3.96,3.6,36.0,8.0,3.0,47.0,6.0,5.0,1.0,5.0,0.0,1.0,27.0,30.0,38.0,3.0,8.0,80.0,15.0,13.0,31.0,29.0,10.0,5.0,1.11,1.33,1.52,3.0,1.0,2.0,47.0,44.0,44.0,24.0,0.43,0.99,0.99,3.4,3.4,3.37
