playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
[8477964],[2024],Ivan Barbashev,VGK,C,all,[70],[70553.0],[1338.0],[49.58],[0.54],[0.54],[0.51],[0.5],[0.51],[0.51],[324.0],[132.87],[18.33],[9.58],[29.15],[4.56],[67.99],[50.4],[16.91],[18.46],[17.04],[20.0],[8.0],[111.0],[69.0],[51.0],[231.0],[51.0],[23.0],[12.0],[1.0],[18.0],[0.0],[57.0],[70.0],[88.0],[157.0],[5.0],[10.0],[12.0],[104.0],[18.0],[78.0],[97.0],[63.0],[20.0],[3.92],[7.83],[6.58],[8.0],[12.0],[3.0],[233.38],[180.0],[181.54],[24.0],[2.08],[2.97],[4.0],[16.41],[16.54],[15.56],[1338.0],[207.0],[136.0],[208.0],[787.0],[220.0],[187.0],[215.0],[716.0],[12.0],[21.0],[184264.0],[10.0],[26.0],[12.0],[33.0],[639.76],[63.81],[60.2],[64.44],[60.79],[588.0],[291.0],[339.0],[1218.0],[74.0],[68.0],[9.0],[630.0],[177.0],[72.0],[19.72],[21.72],[22.37],[28.0],[28.0],[18.0],[1232.19],[879.0],[887.39],[9.11],[13.42],[13.25],[59.67],[60.27],[57.74],[610.98],[53.46],[50.85],[53.32],[50.7],[533.0],[309.0],[331.0],[1173.0],[43.0],[58.0],[6.0],[638.0],[142.0],[62.0],[17.48],[17.89],[18.09],[22.0],[13.0],[8.0],[1166.09],[842.0],[838.67],[8.33],[12.47],[12.47],[49.31],[49.2],[47.82],[167.75],[145.3],[2965.0],[2942.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
[8479353],[2024],Brett Howden,VGK,C,all,[80],[71342.0],[1531.0],[39.75],[0.49],[0.56],[0.47],[0.52],[0.48],[0.53],[542.0],[135.88],[19.84],[9.17],[28.63],[4.4],[65.81],[53.15],[19.35],[19.86],[19.38],[9.0],[8.0],[125.0],[56.0],[36.0],[217.0],[40.0],[23.0],[10.0],[2.0],[17.0],[1.0],[58.0],[72.0],[102.0],[158.0],[19.0],[46.0],[272.0],[121.0],[22.0],[42.0],[105.0],[48.0],[28.0],[3.7],[6.22],[9.91],[8.0],[7.0],[8.0],[218.76],[181.0],[181.85],[8.0],[1.96],[2.23],[3.17],[18.63],[18.65],[18.45],[1531.0],[181.0],[211.0],[228.0],[911.0],[228.0],[193.0],[230.0],[880.0],[272.0],[244.0],[219475.0],[46.0],[40.0],[17.0],[56.0],[582.74],[59.63],[56.78],[60.07],[57.21],[535.0],[265.0],[264.0],[1064.0],[63.0],[58.0],[10.0],[590.0],[137.0],[73.0],[16.39],[17.03],[26.22],[26.0],[15.0],[22.0],[1077.08],[800.0],[807.64],[7.71],[11.77],[11.81],[55.54],[55.94],[54.09],[628.78],[62.13],[58.29],[62.13],[58.28],[539.0],[324.0],[359.0],[1222.0],[61.0],[70.0],[12.0],[642.0],[153.0],[68.0],[18.82],[18.67],[24.64],[26.0],[13.0],[22.0],[1212.06],[863.0],[860.03],[9.24],[16.46],[16.39],[54.98],[54.93],[52.36],[209.39],[164.66],[3772.0],[3463.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
[8474641],[2024],Adam Henrique,EDM,C,all,[81],[71170.0],[1583.0],[23.44],[0.46],[0.57],[0.44],[0.57],[0.45],[0.56],[493.0],[108.04],[12.78],[7.79],[24.77],[3.54],[55.17],[42.95],[11.84],[12.78],[11.85],[5.0],[10.0],[104.0],[43.0],[34.0],[181.0],[27.0],[12.0],[17.0],[1.0],[18.0],[0.0],[45.0],[55.0],[92.0],[135.0],[8.0],[16.0],[562.0],[58.0],[19.0],[57.0],[93.0],[40.0],[14.0],[3.53],[5.03],[4.22],[6.0],[4.0],[2.0],[181.78],[147.0],[147.85],[19.0],[1.71],[3.32],[3.39],[11.11],[11.15],[10.93],[1583.0],[174.0],[360.0],[248.0],[801.0],[215.0],[164.0],[218.0],[986.0],[562.0],[448.0],[222601.0],[16.0],[8.0],[4.0],[85.0],[520.67],[51.82],[48.51],[51.95],[48.66],[508.0],[204.0],[296.0],[1008.0],[49.0],[55.0],[11.0],[530.0],[127.0],[55.0],[15.62],[15.86],[20.33],[18.0],[14.0],[17.0],[1012.59],[712.0],[715.45],[7.57],[11.94],[11.86],[47.52],[47.7],[45.93],[631.87],[60.52],[57.79],[60.83],[58.07],[583.0],[287.0],[427.0],[1297.0],[54.0],[60.0],[6.0],[672.0],[130.0],[68.0],[19.48],[15.97],[25.08],[21.0],[17.0],[16.0],[1293.5],[870.0],[871.93],[9.47],[13.71],[13.71],[56.28],[56.45],[54.8],[220.82],[165.56],[4103.0],[3142.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
[8478904],[2024],Steven Lorentz,TOR,C,all,[80],[50654.0],[1265.0],[17.46],[0.42],[0.5],[0.42],[0.48],[0.44],[0.49],[817.0],[84.18],[8.42],[5.25],[19.9],[2.89],[41.35],[34.18],[7.99],[8.44],[8.01],[5.0],[6.0],[76.0],[36.0],[28.0],[140.0],[19.0],[8.0],[5.0],[0.0],[11.0],[0.0],[40.0],[48.0],[68.0],[104.0],[3.0],[9.0],[12.0],[199.0],[12.0],[25.0],[78.0],[21.0],[13.0],[2.02],[2.63],[3.77],[4.0],[2.0],[2.0],[139.59],[112.0],[111.47],[14.0],[1.11],[1.06],[2.5],[7.02],[7.02],[6.87],[1265.0],[39.0],[183.0],[199.0],[844.0],[172.0],[173.0],[158.0],[762.0],[12.0],[21.0],[239421.0],[9.0],[17.0],[7.0],[55.0],[327.53],[26.82],[25.89],[26.99],[26.06],[294.0],[157.0],[167.0],[618.0],[27.0],[33.0],[0.0],[344.0],[77.0],[30.0],[8.45],[9.84],[8.54],[15.0],[7.0],[5.0],[620.66],[451.0],[451.76],[4.21],[5.72],[5.91],[25.11],[25.19],[24.74],[408.84],[36.59],[34.85],[36.61],[34.86],[372.0],[199.0],[279.0],[850.0],[31.0],[36.0],[4.0],[442.0],[90.0],[39.0],[12.28],[11.27],[13.03],[13.0],[9.0],[9.0],[838.12],[571.0],[566.52],[5.92],[7.84],[7.84],[34.66],[34.61],[33.73],[228.27],[224.21],[3901.0],[4223.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
[8476931],[2024],Jake McCabe,TOR,D,all,[66],[85190.0],[1978.0],[27.05],[0.45],[0.53],[0.43],[0.51],[0.44],[0.51],[147.0],[69.95],[2.98],[3.83],[20.87],[2.44],[39.54],[29.33],[2.86],[2.97],[2.85],[10.0],[11.0],[74.0],[25.0],[71.0],[170.0],[23.0],[2.0],[4.0],[0.0],[12.0],[0.0],[34.0],[47.0],[72.0],[97.0],[17.0],[40.0],[0.0],[118.0],[9.0],[83.0],[93.0],[5.0],[1.0],[1.98],[0.54],[0.46],[2.0],[0.0],[0.0],[169.2],[99.0],[98.82],[57.0],[0.79],[1.01],[0.58],[3.2],[3.18],[3.11],[1978.0],[132.0],[360.0],[320.0],[1166.0],[241.0],[194.0],[252.0],[1291.0],[0.0],[0.0],[154406.0],[40.0],[40.0],[16.0],[135.0],[639.13],[67.12],[64.36],[67.5],[64.72],[605.0],[276.0],[340.0],[1221.0],[76.0],[47.0],[5.0],[650.0],[161.0],[70.0],[18.77],[20.37],[27.98],[29.0],[29.0],[18.0],[1229.01],[881.0],[887.65],[8.53],[10.81],[10.81],[64.84],[65.13],[63.5],[819.85],[81.58],[74.41],[81.85],[74.66],[740.0],[388.0],[496.0],[1624.0],[75.0],[88.0],[9.0],[850.0],[180.0],[98.0],[23.46],[22.93],[35.19],[27.0],[29.0],[19.0],[1619.05],[1128.0],[1128.88],[12.86],[18.45],[18.75],[75.7],[75.87],[71.99],[149.23],[132.49],[2604.0],[2530.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
[8477947],[2024],Sonny Milano,WSH,L,all,[3],[1298.0],[34.0],[-0.5],[0.49],[0.52],[0.39],[0.45],[0.4],[0.44],[36.0],[2.82],[0.38],[0.25],[0.74],[0.11],[1.55],[0.97],[0.35],[0.37],[0.34],[0.0],[0.0],[4.0],[0.0],[0.0],[4.0],[0.0],[0.0],[1.0],[0.0],[0.0],[0.0],[1.0],[2.0],[4.0],[4.0],[0.0],[0.0],[0.0],[1.0],[0.0],[1.0],[1.0],[3.0],[0.0],[0.05],[0.33],[0.0],[0.0],[0.0],[0.0],[3.89],[4.0],[3.89],[0.0],[0.05],[0.46],[0.13],[0.3],[0.29],[0.28],[34.0],[4.0],[2.0],[7.0],[21.0],[3.0],[7.0],[8.0],[16.0],[0.0],[0.0],[9502.0],[0.0],[2.0],[1.0],[0.0],[11.8],[1.76],[1.62],[1.72],[1.58],[13.0],[3.0],[2.0],[18.0],[0.0],[2.0],[0.0],[7.0],[6.0],[3.0],[0.17],[0.68],[0.92],[0.0],[0.0],[0.0],[17.54],[16.0],[15.55],[0.19],[0.59],[0.59],[1.37],[1.35],[1.32],[17.71],[1.85],[1.77],[1.96],[1.88],[16.0],[8.0],[4.0],[28.0],[3.0],[3.0],[1.0],[16.0],[7.0],[1.0],[0.5],[1.12],[0.23],[1.0],[2.0],[0.0],[29.17],[24.0],[25.13],[0.24],[0.57],[0.57],[1.52],[1.61],[1.61],[9.82],[8.91],[154.0],[185.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
[8482153],[2024],Brendan Brisson,VGK,C,all,[9],[5328.0],[122.0],[-1.13],[0.38],[0.5],[0.43],[0.44],[0.41],[0.46],[98.0],[8.44],[0.55],[0.48],[2.29],[0.31],[4.56],[3.82],[0.55],[0.56],[0.56],[0.0],[0.0],[7.0],[5.0],[6.0],[18.0],[0.0],[0.0],[1.0],[0.0],[3.0],[0.0],[4.0],[4.0],[7.0],[12.0],[0.0],[0.0],[0.0],[9.0],[1.0],[1.0],[10.0],[2.0],[0.0],[0.26],[0.29],[0.0],[0.0],[0.0],[0.0],[18.35],[12.0],[12.19],[0.0],[0.1],[0.19],[0.0],[0.65],[0.66],[0.66],[122.0],[4.0],[9.0],[33.0],[76.0],[18.0],[18.0],[15.0],[71.0],[0.0],[0.0],[27355.0],[0.0],[0.0],[0.0],[0.0],[36.24],[2.7],[2.53],[2.77],[2.59],[32.0],[19.0],[19.0],[70.0],[3.0],[4.0],[0.0],[39.0],[10.0],[2.0],[0.82],[1.25],[0.63],[2.0],[1.0],[0.0],[72.53],[51.0],[52.14],[0.42],[0.92],[0.92],[2.2],[2.24],[2.21],[52.57],[4.4],[4.19],[4.35],[4.15],[54.0],[18.0],[22.0],[94.0],[6.0],[8.0],[2.0],[55.0],[10.0],[7.0],[1.35],[1.13],[1.91],[4.0],[1.0],[1.0],[91.66],[72.0],[71.41],[0.69],[1.97],[1.97],[3.12],[3.09],[3.04],[25.18],[24.7],[408.0],[509.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
[8476872],[2024],Scott Laughton,TOR,C,all,[80],[70082.0],[1610.0],[19.1],[0.44],[0.52],[0.41],[0.48],[0.44],[0.5],[565.0],[143.13],[17.85],[9.45],[32.28],[4.7],[70.24],[58.47],[16.8],[18.0],[16.94],[12.0],[6.0],[125.0],[68.0],[44.0],[237.0],[31.0],[13.0],[12.0],[2.0],[27.0],[0.0],[47.0],[94.0],[112.0],[180.0],[13.0],[32.0],[253.0],[178.0],[19.0],[59.0],[134.0],[38.0],[21.0],[3.62],[5.11],[9.11],[4.0],[4.0],[5.0],[237.12],[193.0],[193.92],[24.0],[2.03],[2.03],[4.21],[15.67],[15.75],[15.58],[1610.0],[162.0],[221.0],[248.0],[979.0],[188.0],[233.0],[243.0],[946.0],[253.0],[245.0],[222318.0],[32.0],[28.0],[11.0],[54.0],[498.37],[49.71],[47.06],[49.96],[47.29],[468.0],[217.0],[237.0],[922.0],[42.0],[64.0],[7.0],[505.0],[128.0],[52.0],[14.0],[16.94],[18.77],[17.0],[17.0],[8.0],[925.43],[685.0],[687.02],[7.24],[12.41],[12.41],[44.55],[44.58],[43.77],[639.08],[62.79],[59.71],[62.68],[59.62],[545.0],[342.0],[433.0],[1320.0],[76.0],[61.0],[5.0],[669.0],[154.0],[64.0],[18.69],[19.49],[24.61],[33.0],[23.0],[20.0],[1318.49],[887.0],[888.4],[9.25],[14.25],[14.25],[57.78],[57.82],[56.47],[193.7],[178.08],[3457.0],[3685.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
[8477989],[2024],Christian Dvorak,MTL,C,all,[82],[74999.0],[1641.0],[25.92],[0.43],[0.47],[0.4],[0.49],[0.4],[0.49],[503.0],[124.17],[15.97],[8.22],[27.2],[4.03],[61.87],[49.71],[14.74],[16.05],[14.77],[15.0],[6.0],[104.0],[63.0],[54.0],[221.0],[33.0],[12.0],[18.0],[2.0],[14.0],[0.0],[54.0],[69.0],[92.0],[155.0],[8.0],[16.0],[591.0],[44.0],[18.0],[66.0],[109.0],[35.0],[23.0],[3.34],[4.6],[8.04],[5.0],[4.0],[3.0],[219.76],[167.0],[166.34],[24.0],[1.74],[4.23],[4.5],[13.22],[13.15],[12.42],[1641.0],[151.0],[337.0],[288.0],[865.0],[234.0],[217.0],[249.0],[941.0],[591.0],[469.0],[223914.0],[16.0],[22.0],[11.0],[74.0],[505.39],[57.91],[55.05],[57.66],[54.8],[449.0],[246.0],[323.0],[1018.0],[48.0],[56.0],[7.0],[467.0],[155.0],[73.0],[13.59],[19.14],[25.19],[14.0],[14.0],[20.0],[1007.77],[695.0],[689.9],[6.96],[12.0],[12.0],[52.87],[52.52],[50.82],[763.76],[77.19],[71.98],[77.64],[72.42],[672.0],[373.0],[482.0],[1527.0],[71.0],[72.0],[5.0],[780.0],[172.0],[93.0],[22.98],[21.29],[32.92],[27.0],[24.0],[20.0],[1535.32],[1045.0],[1052.51],[12.01],[15.55],[15.55],[73.66],[74.09],[71.09],[183.31],[207.6],[3554.0],[3710.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
[8477015],[2024],Connor Brown,EDM,R,all,[82],[68928.0],[1458.0],[29.26],[0.48],[0.57],[0.46],[0.56],[0.47],[0.56],[568.0],[128.97],[15.01],[8.1],[29.45],[4.25],[62.46],[51.72],[13.98],[15.3],[14.24],[7.0],[10.0],[123.0],[48.0],[41.0],[212.0],[30.0],[13.0],[11.0],[2.0],[20.0],[0.0],[52.0],[75.0],[110.0],[158.0],[5.0],[10.0],[16.0],[19.0],[26.0],[55.0],[112.0],[40.0],[19.0],[3.94],[4.92],[6.16],[4.0],[7.0],[2.0],[216.56],[171.0],[173.06],[16.0],[1.73],[2.4],[4.09],[12.65],[12.79],[12.15],[1458.0],[129.0],[178.0],[265.0],[886.0],[232.0],[218.0],[197.0],[811.0],[16.0],[28.0],[228596.0],[10.0],[8.0],[4.0],[37.0],[523.25],[52.37],[49.34],[52.88],[49.84],[491.0],[221.0],[255.0],[967.0],[46.0],[56.0],[6.0],[514.0],[138.0],[60.0],[15.24],[16.97],[20.16],[22.0],[15.0],[9.0],[980.15],[712.0],[719.72],[7.01],[12.54],[12.54],[46.84],[47.27],[45.7],[589.01],[57.25],[54.33],[57.29],[54.38],[549.0],[260.0],[321.0],[1130.0],[55.0],[48.0],[7.0],[623.0],[116.0],[70.0],[17.83],[13.96],[25.46],[20.0],[18.0],[17.0],[1127.88],[809.0],[808.03],[8.19],[12.31],[12.31],[53.12],[53.13],[51.4],[224.51],[171.55],[4217.0],[3357.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
"[8471685, 8471685]","[2024, 2025]",Anze Kopitar,LAK,C,all,"[81, 1]","[92125.0, 1067.0]","[1769.0, 19.0]","[65.61, 0.47]","[0.55, 0.68]","[0.53, 0.51]","[0.55, 0.54]","[0.52, 0.59]","[0.54, 0.56]","[0.53, 0.56]","[256.0, 4.0]","[107.09, 2.56]","[15.44, 0.21]","[8.28, 0.21]","[25.02, 0.62]","[3.74, 0.08]","[55.58, 1.85]","[37.93, 1.03]","[14.29, 0.2]","[15.47, 0.21]","[14.3, 0.2]","[29.0, 0.0]","[17.0, 1.0]","[98.0, 1.0]","[48.0, 3.0]","[51.0, 0.0]","[197.0, 4.0]","[67.0, 1.0]","[21.0, 0.0]","[10.0, 0.0]","[6.0, 0.0]","[21.0, 1.0]","[1.0, 0.0]","[45.0, 2.0]","[48.0, 1.0]","[77.0, 1.0]","[125.0, 4.0]","[2.0, 0.0]","[4.0, 0.0]","[879.0, 13.0]","[31.0, 3.0]","[30.0, 0.0]","[65.0, 4.0]","[85.0, 3.0]","[35.0, 1.0]","[26.0, 0.0]","[2.73, 0.11]","[4.27, 0.1]","[8.44, 0.0]","[5.0, 0.0]","[8.0, 0.0]","[8.0, 0.0]","[198.12, 3.88]","[146.0, 4.0]","[147.04, 3.89]","[21.0, 2.0]","[1.91, 0.05]","[1.49, 0.0]","[5.56, 0.0]","[11.79, 0.26]","[11.78, 0.25]","[11.36, 0.25]","[1769.0, 19.0]","[286.0, 1.0]","[291.0, 6.0]","[273.0, 1.0]","[919.0, 11.0]","[191.0, 2.0]","[211.0, 5.0]","[293.0, 1.0]","[1074.0, 11.0]","[879.0, 13.0]","[658.0, 4.0]","[202076.0, 2533.0]","[4.0, 0.0]","[24.0, 0.0]","[12.0, 0.0]","[67.0, 0.0]","[859.62, 9.3]","[92.51, 0.79]","[87.53, 0.77]","[92.93, 0.78]","[87.94, 0.75]","[769.0, 7.0]","[416.0, 7.0]","[509.0, 7.0]","[1694.0, 21.0]","[102.0, 1.0]","[85.0, 0.0]","[9.0, 0.0]","[866.0, 11.0]","[205.0, 3.0]","[114.0, 0.0]","[24.66, 0.41]","[25.44, 0.38]","[42.4, 0.0]","[33.0, 1.0]","[31.0, 0.0]","[38.0, 0.0]","[1701.68, 20.0]","[1185.0, 14.0]","[1191.38, 13.43]","[14.07, 0.19]","[18.09, 0.0]","[18.09, 0.0]","[88.49, 0.98]","[88.88, 0.96]","[86.13, 0.94]","[739.61, 8.21]","[75.37, 0.37]","[72.17, 0.36]","[75.23, 0.4]","[72.03, 0.4]","[655.0, 7.0]","[357.0, 4.0]","[394.0, 7.0]","[1406.0, 18.0]","[74.0, 0.0]","[75.0, 1.0]","[8.0, 0.0]","[740.0, 10.0]","[197.0, 1.0]","[75.0, 0.0]","[20.48, 0.24]","[24.75, 0.13]","[30.14, 0.0]","[32.0, 0.0]","[21.0, 0.0]","[21.0, 0.0]","[1394.59, 19.68]","[1012.0, 11.0]","[1005.54, 11.78]","[11.15, 0.11]","[14.23, 0.03]","[14.23, 0.03]","[72.31, 0.44]","[72.15, 0.49]","[70.21, 0.48]","[154.94, 1.81]","[135.77, 1.73]","[3309.0, 45.0]","[3029.0, 31.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
[8471817],[2024],Ryan Reaves,TOR,R,all,[35],[16381.0],[396.0],[-0.81],[0.45],[0.51],[0.44],[0.5],[0.44],[0.51],[406.0],[17.24],[1.51],[1.26],[3.89],[0.61],[10.41],[7.31],[1.5],[1.49],[1.47],[1.0],[1.0],[14.0],[11.0],[6.0],[31.0],[2.0],[0.0],[1.0],[0.0],[3.0],[0.0],[10.0],[11.0],[14.0],[25.0],[6.0],[18.0],[0.0],[103.0],[4.0],[10.0],[17.0],[8.0],[0.0],[0.48],[1.04],[0.0],[0.0],[0.0],[0.0],[30.07],[25.0],[24.43],[4.0],[0.26],[0.01],[0.0],[1.78],[1.75],[1.73],[396.0],[8.0],[45.0],[68.0],[275.0],[62.0],[62.0],[47.0],[225.0],[0.0],[1.0],[110423.0],[18.0],[13.0],[5.0],[8.0],[101.11],[8.32],[7.95],[8.14],[7.78],[90.0],[51.0],[62.0],[203.0],[4.0],[11.0],[0.0],[106.0],[23.0],[12.0],[2.07],[2.88],[3.37],[1.0],[2.0],[1.0],[198.49],[141.0],[138.0],[1.27],[2.02],[2.02],[7.57],[7.4],[7.29],[129.02],[10.07],[9.72],[10.06],[9.7],[124.0],[58.0],[80.0],[262.0],[6.0],[15.0],[1.0],[144.0],[27.0],[11.0],[3.59],[3.25],[3.23],[4.0],[1.0],[1.0],[262.54],[182.0],[183.3],[1.67],[2.81],[2.81],[8.92],[8.94],[8.85],[105.11],[99.59],[1882.0],[1857.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
[8475848],[2024],Brendan Gallagher,MTL,R,all,[82],[68459.0],[1476.0],[36.19],[0.55],[0.43],[0.51],[0.45],[0.51],[0.46],[683.0],[163.99],[24.94],[11.88],[37.14],[5.52],[82.85],[60.68],[24.16],[24.88],[24.11],[10.0],[7.0],[148.0],[75.0],[80.0],[303.0],[38.0],[21.0],[20.0],[2.0],[17.0],[1.0],[68.0],[96.0],[127.0],[202.0],[18.0],[39.0],[0.0],[92.0],[16.0],[62.0],[126.0],[62.0],[35.0],[4.23],[7.49],[13.22],[6.0],[7.0],[8.0],[301.2],[223.0],[221.99],[23.0],[2.66],[3.86],[4.9],[22.69],[22.57],[22.2],[1476.0],[160.0],[153.0],[283.0],[880.0],[242.0],[207.0],[203.0],[824.0],[0.0],[6.0],[230454.0],[39.0],[41.0],[19.0],[38.0],[588.11],[67.26],[64.36],[66.95],[64.05],[515.0],[287.0],[352.0],[1154.0],[53.0],[65.0],[10.0],[529.0],[189.0],[84.0],[15.65],[23.38],[28.22],[15.0],[18.0],[20.0],[1143.52],[802.0],[795.98],[8.82],[15.37],[15.14],[60.93],[60.46],[59.1],[566.02],[54.05],[52.39],[54.63],[52.94],[480.0],[297.0],[313.0],[1090.0],[49.0],[51.0],[3.0],[606.0],[108.0],[63.0],[18.29],[13.53],[22.24],[24.0],[16.0],[9.0],[1101.1],[777.0],[785.79],[7.29],[11.07],[11.07],[50.27],[50.84],[50.02],[173.97],[230.73],[3418.0],[4147.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
[8474870],[2024],Tyler Johnson,BOS,C,all,[9],[7062.0],[167.0],[0.78],[0.41],[0.51],[0.48],[0.53],[0.48],[0.53],[74.0],[7.27],[0.36],[0.42],[1.97],[0.23],[3.93],[3.09],[0.35],[0.34],[0.33],[1.0],[1.0],[6.0],[4.0],[6.0],[16.0],[2.0],[0.0],[1.0],[0.0],[0.0],[0.0],[2.0],[7.0],[6.0],[10.0],[5.0],[10.0],[7.0],[5.0],[0.0],[2.0],[9.0],[1.0],[0.0],[0.23],[0.14],[0.0],[0.0],[0.0],[0.0],[15.32],[10.0],[9.45],[0.0],[0.08],[0.08],[0.0],[0.45],[0.42],[0.4],[167.0],[12.0],[14.0],[22.0],[119.0],[30.0],[22.0],[28.0],[87.0],[7.0],[4.0],[25639.0],[10.0],[6.0],[3.0],[2.0],[50.44],[3.9],[3.74],[3.87],[3.71],[41.0],[30.0],[28.0],[99.0],[5.0],[4.0],[0.0],[62.0],[5.0],[4.0],[1.66],[0.58],[1.66],[2.0],[1.0],[2.0],[97.34],[71.0],[70.22],[0.71],[0.8],[0.8],[3.8],[3.77],[3.71],[56.59],[5.71],[5.59],[5.79],[5.66],[50.0],[27.0],[30.0],[107.0],[5.0],[2.0],[0.0],[58.0],[13.0],[6.0],[1.79],[1.72],[2.19],[2.0],[1.0],[2.0],[109.41],[77.0],[78.18],[0.73],[0.65],[0.65],[5.78],[5.8],[5.75],[20.05],[19.57],[423.0],[381.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
