playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8478043,2025,Sam Lafferty,CHI,C,other,10,14.0,0.0,-0.32,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8478043,2025,Sam Lafferty,CHI,C,all,10,5412.0,131.0,0.77,0.4,0.44,0.51,0.43,0.48,0.43,109.0,2.14,0.24,0.17,0.41,0.06,1.3,0.82,0.24,0.23,0.23,0.0,0.0,2.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,4.0,4.0,10.0,0.0,4.0,2.0,1.0,0.0,0.14,0.1,0.0,1.0,0.0,0.0,5.9,3.0,2.98,1.0,0.04,0.0,0.0,0.27,0.26,0.26,131.0,13.0,7.0,20.0,91.0,19.0,20.0,17.0,75.0,4.0,2.0,30796.0,4.0,0.0,0.0,1.0,33.24,2.05,2.03,2.02,2.0,32.0,14.0,27.0,73.0,4.0,2.0,0.0,36.0,10.0,0.0,0.98,1.07,0.0,3.0,1.0,0.0,73.75,46.0,46.55,0.44,0.13,0.13,2.36,2.33,2.31,36.88,3.13,3.12,3.15,3.13,32.0,17.0,22.0,71.0,4.0,2.0,1.0,35.0,10.0,4.0,0.78,1.21,1.14,1.0,2.0,1.0,70.49,49.0,48.57,0.49,0.48,0.48,3.13,3.12,3.11,24.69,31.31,416.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0
8478043,2025,Sam Lafferty,CHI,C,5on5,10,5381.0,130.0,0.77,0.4,0.4,0.51,0.43,0.48,0.44,106.0,2.14,0.24,0.17,0.41,0.06,1.3,0.82,0.24,0.23,0.23,0.0,0.0,2.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,4.0,4.0,10.0,0.0,4.0,2.0,1.0,0.0,0.14,0.1,0.0,1.0,0.0,0.0,5.9,3.0,2.98,1.0,0.04,0.0,0.0,0.27,0.26,0.26,130.0,13.0,7.0,20.0,90.0,19.0,20.0,16.0,75.0,4.0,2.0,23868.0,4.0,0.0,0.0,1.0,33.24,2.05,2.03,2.02,2.0,32.0,14.0,27.0,73.0,4.0,2.0,0.0,36.0,10.0,0.0,0.98,1.07,0.0,3.0,1.0,0.0,73.75,46.0,46.55,0.44,0.13,0.13,2.36,2.33,2.31,36.88,3.13,3.12,3.15,3.13,32.0,17.0,22.0,71.0,4.0,2.0,1.0,35.0,10.0,4.0,0.78,1.21,1.14,1.0,2.0,1.0,70.49,49.0,48.57,0.49,0.48,0.48,3.13,3.12,3.11,14.09,21.19,321.0,428.0,0.09,0.0,4.0,1.0,2.0,0.0
8478043,2025,Sam Lafferty,CHI,C,4on5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8478043,2025,Sam Lafferty,CHI,C,5on4,10,17.0,1.0,-0.09,0.0,0.92,0.0,0.75,0.0,0.75,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.02,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8477505,2025,Alexander Wennberg,SJS,C,other,29,1894.0,19.0,9.92,0.52,0.45,0.67,0.35,0.66,0.4,66.0,3.54,1.44,0.46,0.6,0.12,1.05,0.32,1.39,1.44,1.39,0.0,0.0,4.0,0.0,1.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,27.0,0.0,0.0,0.0,1.0,1.0,2.0,0.03,0.18,1.24,0.0,0.0,2.0,5.0,4.0,4.0,0.0,0.14,0.0,0.0,1.57,1.57,1.52,19.0,7.0,7.0,0.0,5.0,2.0,2.0,8.0,7.0,27.0,17.0,986.0,2.0,0.0,0.0,2.0,34.88,6.5,6.16,6.5,6.16,33.0,16.0,23.0,72.0,4.0,1.0,0.0,24.0,21.0,4.0,1.01,2.63,2.86,0.0,2.0,2.0,72.0,49.0,49.0,0.99,0.1,0.1,7.39,7.39,6.98,17.92,5.95,5.63,5.95,5.63,16.0,9.0,10.0,35.0,7.0,2.0,1.0,8.0,7.0,10.0,0.34,0.94,4.68,1.0,1.0,5.0,35.0,25.0,25.0,0.4,0.61,0.61,5.75,5.75,5.52,2.6,3.2,16.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
8477505,2025,Alexander Wennberg,SJS,C,all,29,35897.0,710.0,10.9,0.49,0.44,0.5,0.42,0.48,0.4,61.0,29.95,6.14,2.51,6.16,1.0,12.68,9.52,5.36,6.07,5.3,7.0,1.0,31.0,7.0,17.0,55.0,13.0,5.0,3.0,0.0,9.0,0.0,8.0,13.0,26.0,33.0,4.0,8.0,211.0,7.0,13.0,22.0,17.0,11.0,10.0,0.53,1.5,4.11,2.0,0.0,3.0,54.1,38.0,37.42,8.0,0.61,0.32,1.69,5.06,5.0,4.87,710.0,117.0,112.0,104.0,377.0,86.0,91.0,116.0,417.0,211.0,239.0,69999.0,8.0,14.0,7.0,33.0,279.54,31.99,29.7,31.76,29.47,265.0,120.0,184.0,569.0,27.0,28.0,2.0,263.0,89.0,33.0,8.29,10.83,12.87,9.0,11.0,7.0,565.83,385.0,382.81,4.99,5.65,5.75,31.23,31.06,30.26,305.45,33.6,31.55,33.68,31.63,277.0,141.0,154.0,572.0,37.0,33.0,5.0,288.0,89.0,41.0,7.72,10.92,14.96,12.0,12.0,13.0,573.33,418.0,419.35,4.87,7.71,7.71,30.76,30.85,29.86,50.73,65.5,914.0,1287.0,0.0,0.0,0.0,0.0,0.0,0.0
8477505,2025,Alexander Wennberg,SJS,C,5on5,29,24717.0,514.0,10.9,0.48,0.42,0.47,0.42,0.46,0.4,120.0,18.12,2.27,1.3,3.97,0.59,8.94,6.94,2.09,2.19,2.03,4.0,0.0,19.0,5.0,13.0,37.0,6.0,2.0,2.0,0.0,7.0,0.0,3.0,10.0,17.0,22.0,2.0,4.0,143.0,6.0,9.0,18.0,13.0,7.0,4.0,0.44,0.83,1.0,2.0,0.0,0.0,36.1,24.0,23.42,7.0,0.28,0.24,0.82,1.72,1.66,1.64,514.0,57.0,75.0,97.0,285.0,73.0,64.0,80.0,297.0,143.0,157.0,58259.0,4.0,12.0,6.0,27.0,164.82,14.56,13.85,14.34,13.62,158.0,71.0,116.0,345.0,13.0,16.0,2.0,172.0,43.0,14.0,5.31,5.44,3.81,5.0,7.0,1.0,341.83,229.0,226.81,2.24,2.71,3.13,13.68,13.51,13.29,194.31,15.79,15.33,15.87,15.41,171.0,97.0,114.0,382.0,17.0,15.0,3.0,205.0,49.0,14.0,5.63,6.03,4.13,8.0,6.0,3.0,383.33,268.0,269.35,2.53,3.35,3.35,14.97,15.06,14.79,36.01,48.88,752.0,1031.0,0.67,0.26,17.0,9.0,14.0,7.0
8477505,2025,Alexander Wennberg,SJS,C,4on5,29,3634.0,92.0,10.23,0.05,0.14,0.07,0.09,0.08,0.11,83.0,1.46,0.04,0.06,0.29,0.04,0.51,1.07,0.04,0.04,0.04,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,13.0,1.0,3.0,1.0,2.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.02,0.0,0.0,0.06,0.06,0.06,92.0,0.0,29.0,2.0,61.0,4.0,19.0,14.0,55.0,13.0,33.0,6135.0,2.0,0.0,0.0,0.0,6.02,0.46,0.46,0.46,0.46,8.0,0.0,1.0,9.0,0.0,0.0,0.0,5.0,3.0,0.0,0.12,0.34,0.0,0.0,0.0,0.0,9.0,8.0,8.0,0.07,0.0,0.0,0.53,0.53,0.53,68.84,9.53,8.28,9.53,8.28,63.0,29.0,28.0,120.0,10.0,15.0,1.0,53.0,24.0,15.0,1.1,2.73,5.7,2.0,4.0,4.0,120.0,92.0,92.0,1.65,3.74,3.74,7.44,7.44,6.96,1.88,11.72,19.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0
8477505,2025,Alexander Wennberg,SJS,C,5on4,29,5652.0,85.0,10.9,0.85,0.87,0.83,0.87,0.77,0.83,126.0,6.84,2.39,0.69,1.3,0.25,2.18,1.19,1.83,2.39,1.83,2.0,1.0,6.0,2.0,3.0,11.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,5.0,7.0,0.0,0.0,26.0,0.0,1.0,3.0,1.0,3.0,4.0,0.02,0.49,1.88,0.0,0.0,1.0,11.0,8.0,8.0,0.0,0.18,0.08,0.86,1.71,1.71,1.66,85.0,53.0,1.0,5.0,26.0,7.0,6.0,14.0,58.0,26.0,32.0,4481.0,0.0,2.0,1.0,4.0,71.0,10.19,8.97,10.19,8.97,62.0,33.0,44.0,139.0,8.0,11.0,0.0,60.0,20.0,15.0,1.74,2.25,6.2,2.0,2.0,4.0,139.0,95.0,95.0,1.63,2.84,2.51,9.3,9.3,9.15,20.58,1.76,1.74,1.76,1.74,24.0,4.0,1.0,29.0,3.0,1.0,0.0,20.0,7.0,1.0,0.58,0.95,0.23,1.0,1.0,1.0,29.0,28.0,28.0,0.22,0.01,0.01,1.98,1.98,1.95,10.09,1.5,125.0,19.0,0.01,0.0,2.0,0.0,1.0,0.0
8477506,2025,Ryan Pulock,NYI,D,other,28,1316.0,23.0,9.0,0.43,0.62,0.22,0.64,0.28,0.64,52.0,0.81,0.05,0.07,0.3,0.03,0.43,0.11,0.02,0.05,0.02,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.02,0.0,0.0,0.07,0.07,0.03,23.0,2.0,7.0,5.0,9.0,0.0,2.0,5.0,16.0,0.0,0.0,2184.0,0.0,0.0,0.0,5.0,8.56,3.35,3.32,3.35,3.32,7.0,6.0,1.0,14.0,3.0,0.0,0.0,6.0,1.0,6.0,0.17,0.1,3.08,1.0,0.0,2.0,14.0,13.0,13.0,0.12,0.0,0.0,3.47,3.47,3.43,24.2,4.39,3.82,4.39,3.82,23.0,11.0,15.0,49.0,5.0,4.0,1.0,20.0,6.0,8.0,0.82,0.77,2.8,0.0,2.0,3.0,49.0,34.0,34.0,0.59,1.51,1.51,3.47,3.47,3.25,8.53,5.26,71.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
8477506,2025,Ryan Pulock,NYI,D,all,28,34497.0,777.0,13.8,0.43,0.52,0.44,0.54,0.45,0.55,78.0,33.15,1.13,1.7,10.21,1.15,19.2,13.61,1.05,1.13,1.05,5.0,8.0,34.0,13.0,31.0,78.0,13.0,0.0,5.0,0.0,5.0,0.0,18.0,19.0,34.0,47.0,1.0,2.0,0.0,24.0,9.0,33.0,47.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,78.35,47.0,47.41,21.0,0.36,1.39,0.03,1.45,1.46,1.35,777.0,57.0,127.0,125.0,468.0,74.0,66.0,89.0,548.0,0.0,0.0,67888.0,2.0,0.0,0.0,48.0,260.95,26.93,26.1,26.86,26.06,236.0,120.0,111.0,467.0,25.0,31.0,4.0,251.0,77.0,28.0,7.2,10.2,9.52,8.0,11.0,6.0,468.41,356.0,355.86,3.49,6.24,6.24,24.18,24.14,23.72,316.59,36.16,32.98,36.34,33.15,284.0,143.0,178.0,605.0,29.0,46.0,4.0,290.0,80.0,57.0,8.71,9.82,17.63,9.0,6.0,14.0,607.78,427.0,429.18,5.86,10.67,10.67,31.35,31.53,30.35,70.05,63.74,1204.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0
8477506,2025,Ryan Pulock,NYI,D,5on5,28,28500.0,634.0,13.8,0.52,0.46,0.5,0.48,0.53,0.49,85.0,30.88,1.0,1.54,9.54,1.07,18.13,12.72,0.96,1.01,0.97,4.0,6.0,31.0,13.0,30.0,74.0,10.0,0.0,5.0,0.0,4.0,0.0,18.0,17.0,31.0,44.0,1.0,2.0,0.0,24.0,9.0,27.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74.35,44.0,44.41,15.0,0.31,1.39,0.03,1.29,1.29,1.24,634.0,47.0,63.0,111.0,413.0,69.0,51.0,66.0,448.0,0.0,0.0,53041.0,2.0,0.0,0.0,33.0,232.42,21.28,20.6,21.21,20.55,208.0,108.0,104.0,420.0,19.0,30.0,4.0,230.0,65.0,21.0,6.58,8.46,6.24,7.0,9.0,3.0,421.41,316.0,315.86,3.04,6.23,6.23,18.09,18.06,17.82,204.37,19.77,18.87,19.94,19.04,180.0,100.0,133.0,413.0,14.0,26.0,1.0,196.0,57.0,27.0,6.0,6.92,6.84,8.0,2.0,4.0,415.78,280.0,282.18,2.93,5.29,5.29,17.41,17.58,17.28,39.58,46.47,809.0,859.0,1.91,0.37,47.0,12.0,36.0,9.0
8477506,2025,Ryan Pulock,NYI,D,4on5,28,4428.0,100.0,13.8,0.11,0.11,0.13,0.16,0.15,0.2,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,57.0,8.0,34.0,5.0,9.0,17.0,69.0,0.0,0.0,3305.0,0.0,0.0,0.0,0.0,13.68,1.48,1.47,1.48,1.47,14.0,5.0,2.0,21.0,2.0,1.0,0.0,12.0,6.0,1.0,0.37,0.9,0.2,0.0,1.0,1.0,21.0,19.0,19.0,0.17,0.01,0.01,1.64,1.64,1.63,84.88,11.73,10.03,11.73,10.03,79.0,30.0,30.0,139.0,10.0,16.0,2.0,71.0,16.0,22.0,1.73,2.01,7.99,1.0,2.0,7.0,139.0,109.0,109.0,2.29,3.87,3.87,10.15,10.15,9.5,0.94,7.32,18.0,96.0,0.24,0.0,3.0,0.0,3.0,0.0
8477506,2025,Ryan Pulock,NYI,D,5on4,28,253.0,20.0,8.3,0.92,0.82,0.9,0.89,0.83,0.88,52.0,0.68,0.03,0.06,0.19,0.02,0.33,0.37,0.01,0.03,0.01,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.01,0.0,0.0,0.04,0.04,0.02,20.0,7.0,0.0,1.0,12.0,0.0,4.0,1.0,15.0,0.0,0.0,5775.0,0.0,0.0,0.0,5.0,3.75,0.46,0.37,0.46,0.37,4.0,1.0,4.0,9.0,1.0,0.0,0.0,2.0,3.0,0.0,0.04,0.43,0.0,0.0,1.0,0.0,9.0,5.0,5.0,0.11,0.0,0.0,0.57,0.57,0.45,0.79,0.04,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.05,0.05,0.05,8.39,1.88,165.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
8478975,2025,Mason Marchment,SEA,L,other,23,395.0,8.0,4.82,0.68,0.47,0.62,0.34,0.6,0.42,68.0,0.72,0.06,0.06,0.11,0.02,0.55,0.2,0.06,0.06,0.06,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.02,0.0,0.0,0.07,0.07,0.07,8.0,2.0,0.0,0.0,6.0,2.0,2.0,1.0,3.0,0.0,1.0,1524.0,0.0,0.0,0.0,0.0,4.26,1.06,1.06,1.06,1.06,4.0,2.0,2.0,8.0,1.0,0.0,0.0,4.0,1.0,1.0,0.18,0.1,0.77,0.0,0.0,1.0,8.0,6.0,6.0,0.07,0.0,0.0,1.13,1.13,1.13,2.69,0.49,0.49,0.49,0.49,1.0,3.0,1.0,5.0,1.0,0.0,0.0,2.0,1.0,1.0,0.05,0.08,0.36,0.0,0.0,1.0,5.0,4.0,4.0,0.05,0.0,0.0,0.54,0.54,0.54,3.29,3.75,22.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8478975,2025,Mason Marchment,SEA,L,all,23,23408.0,480.0,8.89,0.56,0.46,0.53,0.45,0.51,0.45,112.0,37.32,4.24,2.38,8.96,1.27,19.99,14.15,4.16,4.23,4.14,3.0,6.0,32.0,19.0,23.0,74.0,11.0,2.0,5.0,0.0,7.0,0.0,19.0,18.0,30.0,49.0,4.0,8.0,8.0,34.0,8.0,37.0,33.0,13.0,5.0,1.23,1.68,1.33,1.0,0.0,1.0,74.19,51.0,51.33,9.0,0.52,0.76,0.41,4.35,4.36,4.26,480.0,69.0,47.0,86.0,278.0,93.0,77.0,61.0,249.0,8.0,19.0,61552.0,8.0,10.0,5.0,9.0,171.73,17.88,17.07,17.84,17.03,145.0,88.0,100.0,333.0,12.0,18.0,2.0,160.0,53.0,20.0,5.01,6.45,6.42,4.0,3.0,5.0,332.39,233.0,232.88,2.7,4.06,4.06,16.52,16.53,16.18,161.38,14.07,13.49,14.11,13.53,140.0,81.0,78.0,299.0,8.0,11.0,0.0,169.0,37.0,15.0,4.93,4.64,4.49,4.0,2.0,2.0,301.4,221.0,221.77,2.23,2.48,2.48,13.82,13.89,13.67,45.94,54.35,889.0,1079.0,0.0,0.0,0.0,0.0,0.0,0.0
8478975,2025,Mason Marchment,SEA,L,5on5,23,20427.0,420.0,8.89,0.46,0.42,0.48,0.45,0.46,0.45,88.0,32.92,3.74,2.04,8.02,1.14,17.16,12.9,3.67,3.73,3.65,3.0,2.0,30.0,15.0,19.0,64.0,7.0,2.0,3.0,0.0,7.0,0.0,18.0,15.0,28.0,43.0,4.0,8.0,4.0,32.0,7.0,33.0,28.0,13.0,4.0,0.95,1.68,1.11,1.0,0.0,1.0,64.19,45.0,45.33,8.0,0.43,0.28,0.41,3.76,3.77,3.68,420.0,50.0,46.0,82.0,242.0,81.0,71.0,55.0,213.0,4.0,12.0,49376.0,8.0,10.0,5.0,9.0,132.96,11.19,10.92,11.14,10.87,113.0,69.0,86.0,268.0,8.0,9.0,1.0,131.0,42.0,9.0,3.86,5.1,2.23,3.0,3.0,2.0,267.39,182.0,181.88,1.74,1.46,1.67,11.26,11.27,11.08,155.31,13.02,12.44,13.06,12.48,137.0,76.0,76.0,289.0,7.0,11.0,0.0,165.0,36.0,12.0,4.83,4.56,3.62,4.0,2.0,1.0,291.4,213.0,213.77,2.13,2.48,2.48,12.68,12.75,12.53,26.1,35.59,672.0,812.0,0.11,1.11,7.0,19.0,4.0,14.0
8478975,2025,Mason Marchment,SEA,L,4on5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
