playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts,past_games,past_sog,past_a_sog,past_e_shot,past_goals,past_a_goals,past_e_goals,past_on_ice_goal,past_a_on_ice_goal,past_assists1,past_assists2,past_rebound_goals,SOG_22,AVG_SOG_22,GOALS_22,AVG_GOALS_22,ASSISTS1_22,ASSISTS2_22,AVG_ASSISTS_22,REBOUNDS_22,AVG_REBOUNDS_22,ONICE_GOALS_22,SOG_23,AVG_SOG_23,GOALS_23,AVG_GOALS_23,ASSISTS1_23,ASSISTS2_23,AVG_ASSISTS_23,REBOUNDS_23,AVG_REBOUNDS_23,ONICE_GOALS_23,SOG_24,AVG_SOG_24,GOALS_24,AVG_GOALS_24,ASSISTS1_24,ASSISTS2_24,AVG_ASSISTS_24,REBOUNDS_24,AVG_REBOUNDS_24,ONICE_GOALS_24
8473533,2025,Jordan Staal,CAR,C,all,5,4511.0,118.0,4.85,0.51,0.68,0.55,0.62,0.57,0.64,28.0,6.08,1.07,0.42,1.31,0.26,3.52,2.41,1.03,1.14,1.1,0.0,0.0,8.0,1.0,3.0,12.0,3.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,5.0,6.0,1.0,2.0,63.0,10.0,2.0,3.0,2.0,5.0,2.0,0.09,0.51,0.48,1.0,2.0,0.0,12.8,9.0,9.65,1.0,0.09,0.4,0.48,0.68,0.74,0.73,118.0,16.0,24.0,28.0,50.0,25.0,7.0,20.0,66.0,63.0,38.0,13877.0,2.0,2.0,1.0,1.0,41.35,4.94,4.69,5.07,4.82,37.0,19.0,22.0,78.0,5.0,6.0,0.0,34.0,15.0,7.0,0.94,1.83,2.17,2.0,2.0,1.0,81.33,56.0,58.17,0.56,1.24,1.07,4.42,4.55,4.45,32.37,4.76,4.37,4.69,4.3,30.0,13.0,20.0,63.0,2.0,3.0,1.0,26.0,11.0,6.0,0.86,1.57,2.33,0.0,0.0,2.0,60.86,43.0,41.91,0.52,0.94,0.94,4.34,4.26,4.22,17.07,8.18,304.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,:5:4:3:2:1,:8:4:3:3:0,:2:1:1:2:0,:6:3:2:2:0,:3:1:1:1:0,:1:0:0:0:0,:1:0:0:0:0,:5:3:3:3:2,:1:1:1:2:2,:0:0:0:0:0,:0:0:0:0:0,:0:0:0:0:0,124,2,17,0,7,10,0,2,0,68,123,2,10,0,7,13,0,2,0,65,107,1,13,0,15,8,0,1,0,61
8475172,2025,Nazem Kadri,CGY,C,all,6,7320.0,132.0,3.06,0.56,0.39,0.61,0.44,0.58,0.45,9.0,14.52,1.38,1.29,2.96,0.52,8.31,5.53,1.36,1.37,1.34,2.0,2.0,14.0,6.0,11.0,31.0,4.0,0.0,1.0,0.0,0.0,0.0,9.0,10.0,14.0,20.0,3.0,6.0,37.0,3.0,4.0,7.0,12.0,8.0,0.0,0.26,1.12,0.0,0.0,0.0,0.0,30.08,20.0,19.84,0.0,0.3,0.3,0.0,1.68,1.66,1.63,132.0,33.0,10.0,15.0,74.0,10.0,20.0,29.0,73.0,37.0,41.0,14580.0,6.0,0.0,0.0,3.0,72.34,8.74,8.53,8.7,8.48,56.0,42.0,54.0,152.0,7.0,7.0,2.0,67.0,23.0,8.0,1.73,2.99,4.01,3.0,0.0,4.0,148.71,98.0,96.81,1.36,2.96,2.96,7.14,7.1,7.0,52.31,6.84,6.59,6.86,6.62,56.0,15.0,27.0,98.0,9.0,5.0,1.0,47.0,13.0,11.0,1.2,1.61,4.03,4.0,2.0,3.0,99.83,71.0,71.83,0.69,0.98,0.98,6.55,6.58,6.38,8.21,12.81,202.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,:6:5:4:3:2:1,:14:11:10:6:3:2,:2:2:2:2:2:2,:15:12:11:7:4:2,:0:0:0:0:0:0,:0:0:0:0:0:0,:1:1:1:1:0:0,:7:6:5:5:3:3,:1:1:1:2:2:3,:2:1:1:1:1:1,:2:2:1:1:0:0,:0:0:0:0:0:0,267,3,24,0,17,15,0,5,0,64,277,3,29,0,28,18,1,2,0,71,279,3,35,0,19,13,0,2,0,77
8480064,2025,Josh Norris,BUF,C,all,1,1131.0,24.0,0.26,0.84,0.44,0.59,0.51,0.63,0.48,4.0,2.84,0.38,0.23,0.56,0.1,1.77,0.97,0.36,0.37,0.35,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,0.08,0.09,0.21,0.0,0.0,0.0,3.92,4.0,3.92,0.0,0.05,0.0,0.0,0.44,0.42,0.4,24.0,5.0,3.0,5.0,11.0,4.0,5.0,1.0,14.0,4.0,8.0,2469.0,0.0,0.0,0.0,0.0,14.4,1.62,1.57,1.56,1.51,15.0,5.0,2.0,22.0,0.0,2.0,0.0,13.0,4.0,3.0,0.53,0.42,0.67,0.0,0.0,0.0,21.12,20.0,19.22,0.26,0.39,0.39,1.5,1.45,1.42,8.95,0.32,0.32,0.34,0.34,6.0,6.0,3.0,15.0,0.0,0.0,0.0,11.0,1.0,0.0,0.19,0.13,0.0,0.0,0.0,0.0,15.78,12.0,12.65,0.11,0.0,0.0,0.43,0.45,0.45,1.22,1.56,46.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,:1,:4,:4,:3,:0,:0,:0,:0,:0,:0,:0,:0,15,2,2,0,0,1,0,0,0,10,115,2,16,0,3,11,0,1,0,42,96,2,21,0,9,5,0,1,0,63
8480813,2025,Joe Veleno,MTL,C,all,1,584.0,13.0,0.3,0.43,0.38,0.59,0.48,0.58,0.46,11.0,2.23,0.19,0.14,0.47,0.06,1.26,0.87,0.19,0.19,0.19,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,0.07,0.12,0.0,0.0,0.0,0.0,3.08,3.0,3.12,1.0,0.03,0.0,0.0,0.22,0.22,0.22,13.0,4.0,0.0,3.0,6.0,4.0,1.0,3.0,5.0,1.0,1.0,3016.0,0.0,0.0,0.0,0.0,4.69,0.31,0.3,0.3,0.29,4.0,3.0,3.0,10.0,0.0,0.0,0.0,6.0,1.0,0.0,0.19,0.12,0.0,0.0,0.0,0.0,10.26,7.0,7.12,0.06,0.0,0.0,0.36,0.36,0.35,3.8,0.41,0.41,0.43,0.43,3.0,2.0,2.0,7.0,0.0,1.0,0.0,3.0,2.0,0.0,0.12,0.29,0.0,0.0,0.0,0.0,7.26,5.0,5.28,0.04,0.14,0.14,0.31,0.32,0.32,1.78,2.87,41.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,:1,:2,:2,:2,:0,:0,:0,:0,:0,:0,:0,:0,85,1,9,0,6,5,0,1,0,45,86,1,12,0,8,8,0,2,0,56,75,1,8,0,3,6,0,1,0,45
8478407,2025,Vince Dunn,SEA,D,all,5,6803.0,141.0,3.4,0.61,0.5,0.54,0.42,0.56,0.43,12.0,11.14,0.42,0.64,3.55,0.36,6.5,4.53,0.41,0.42,0.4,0.0,3.0,12.0,4.0,9.0,25.0,5.0,2.0,0.0,0.0,4.0,0.0,6.0,4.0,10.0,14.0,3.0,6.0,0.0,1.0,0.0,5.0,16.0,0.0,0.0,0.42,0.0,0.0,2.0,0.0,0.0,25.37,16.0,16.24,2.0,0.14,0.0,0.0,0.56,0.56,0.54,141.0,33.0,12.0,26.0,70.0,15.0,19.0,21.0,86.0,0.0,0.0,12184.0,6.0,0.0,0.0,2.0,61.79,6.23,5.96,6.28,6.01,59.0,26.0,32.0,117.0,7.0,6.0,1.0,57.0,23.0,5.0,1.45,2.92,1.86,2.0,3.0,2.0,119.18,85.0,86.41,1.11,1.13,1.13,6.21,6.24,6.08,47.6,3.98,3.9,3.95,3.86,37.0,29.0,35.0,101.0,4.0,3.0,0.0,53.0,8.0,5.0,1.5,1.04,1.44,2.0,0.0,2.0,99.7,66.0,65.37,0.61,0.51,0.51,4.09,4.05,3.97,8.74,8.73,173.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,:5:4:3:2:1,:12:10:8:6:4,:2:2:3:3:4,:11:10:9:6:4,:2:1:1:1:1,:0:0:0:0:1,:0:0:0:0:0,:7:5:5:4:2,:1:1:2:2:2,:0:0:0:0:0,:3:3:3:2:0,:0:0:0:0:0,150,2,14,0,24,26,1,0,0,86,120,2,11,0,19,16,1,0,0,54,137,2,11,0,12,16,0,1,0,79
8480865,2025,Noah Dobson,MTL,D,all,6,8031.0,150.0,3.27,0.47,0.53,0.54,0.49,0.55,0.49,15.0,10.44,0.33,0.7,2.79,0.38,7.19,4.62,0.3,0.33,0.3,1.0,1.0,11.0,5.0,9.0,25.0,3.0,1.0,0.0,0.0,3.0,0.0,9.0,3.0,10.0,15.0,2.0,4.0,0.0,1.0,2.0,6.0,16.0,0.0,0.0,0.33,0.0,0.0,1.0,0.0,0.0,24.84,16.0,15.81,3.0,0.15,0.0,0.0,0.48,0.48,0.44,150.0,12.0,20.0,29.0,89.0,17.0,12.0,26.0,95.0,0.0,0.0,14071.0,4.0,2.0,1.0,7.0,70.19,6.79,6.51,6.84,6.55,61.0,35.0,33.0,129.0,8.0,5.0,0.0,66.0,22.0,8.0,1.97,2.56,2.26,3.0,4.0,1.0,129.98,96.0,96.54,1.05,1.08,1.44,6.4,6.47,6.3,58.79,7.67,7.52,7.64,7.5,47.0,32.0,31.0,110.0,7.0,3.0,0.0,53.0,19.0,7.0,1.35,2.36,3.96,1.0,3.0,3.0,109.42,79.0,78.69,0.83,0.86,0.86,7.64,7.65,7.5,11.58,10.44,200.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,:6:5:4:3:2:1,:11:8:6:5:2:1,:2:2:2:2:1:1,:10:8:5:4:2:1,:1:0:0:0:0:0,:0:0:0:0:0:0,:0:0:0:0:0:0,:8:5:4:2:2:1,:1:1:1:1:1:1,:1:1:1:0:0:0,:1:1:1:1:1:0,:0:0:0:0:0:0,206,3,13,0,22,14,0,0,0,81,174,2,10,0,35,25,1,0,0,104,196,3,10,0,16,13,0,1,0,76
8484768,2025,Zayne Parekh,CGY,D,all,4,4225.0,95.0,1.3,0.42,0.5,0.58,0.46,0.57,0.47,19.0,9.6,0.55,0.61,2.23,0.31,6.14,4.16,0.54,0.54,0.53,0.0,0.0,8.0,6.0,8.0,22.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,8.0,14.0,0.0,0.0,0.0,1.0,0.0,5.0,13.0,1.0,0.0,0.46,0.09,0.0,0.0,0.0,0.0,21.48,14.0,13.67,5.0,0.14,0.0,0.0,0.69,0.67,0.66,95.0,10.0,2.0,11.0,72.0,16.0,13.0,9.0,57.0,0.0,0.0,10175.0,0.0,2.0,1.0,4.0,45.9,3.57,3.53,3.54,3.49,38.0,24.0,23.0,85.0,0.0,1.0,0.0,47.0,14.0,1.0,1.41,1.96,0.21,0.0,0.0,0.0,82.69,62.0,60.92,0.62,0.2,0.2,4.0,3.96,3.91,33.77,5.02,4.75,5.1,4.83,33.0,13.0,15.0,61.0,3.0,3.0,0.0,32.0,7.0,7.0,0.94,0.86,3.21,0.0,0.0,3.0,63.07,46.0,47.08,0.45,0.57,0.57,4.89,4.97,4.76,9.29,9.38,157.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,:4:3:2:1,:8:5:3:2,:2:2:2:2,:10:5:4:3,:0:0:0:0,:0:0:0:0,:1:0:0:0,:0:0:0:0,:0:0:0:0,:0:0:0:0,:0:0:0:0,:0:0:0:0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0,0,0,0,0,1
8475913,2025,Mark Stone,VGK,R,all,6,6627.0,125.0,12.21,0.68,0.46,0.64,0.49,0.7,0.47,29.0,18.85,2.56,1.68,3.9,0.62,9.46,6.78,2.4,2.58,2.42,10.0,1.0,19.0,6.0,5.0,30.0,13.0,2.0,4.0,1.0,0.0,0.0,13.0,6.0,17.0,23.0,0.0,0.0,0.0,3.0,1.0,6.0,13.0,9.0,3.0,0.42,1.22,0.92,0.0,1.0,1.0,30.82,25.0,25.47,0.0,0.38,0.66,0.64,2.3,2.32,2.24,125.0,19.0,19.0,18.0,69.0,20.0,12.0,29.0,64.0,0.0,1.0,15653.0,0.0,6.0,3.0,5.0,82.61,9.85,9.22,9.9,9.27,77.0,34.0,35.0,146.0,15.0,9.0,4.0,72.0,27.0,12.0,1.67,3.69,4.48,3.0,6.0,6.0,146.03,111.0,110.79,1.41,1.62,1.62,9.64,9.68,9.2,35.48,4.56,4.53,4.62,4.59,33.0,15.0,33.0,81.0,6.0,1.0,1.0,33.0,9.0,6.0,0.79,1.15,2.61,2.0,1.0,3.0,81.57,48.0,48.72,0.5,0.92,0.92,4.14,4.21,4.19,11.24,13.04,251.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,:6:5:4:3:2:1,:19:15:9:5:4:3,:3:3:2:2:2:3,:19:15:9:5:4:3,:2:0:0:0:0:0,:0:0:0:0:0:0,:3:2:1:1:1:1,:15:10:7:5:4:2,:2:2:2:2:2:2,:10:8:6:5:4:2,:1:1:0:0:0:0,:1:0:0:0:0:0,113,3,17,0,13,8,0,4,0,35,117,2,16,0,20,17,1,1,0,56,131,2,19,0,34,14,1,2,0,58
8478864,2025,Kirill Kaprizov,MIN,L,all,6,7943.0,115.0,8.4,0.59,0.36,0.62,0.4,0.62,0.41,14.0,24.25,2.81,1.87,5.08,0.93,14.43,8.89,2.7,2.8,2.69,3.0,2.0,22.0,12.0,8.0,42.0,9.0,4.0,5.0,0.0,5.0,0.0,16.0,4.0,18.0,30.0,0.0,0.0,0.0,2.0,0.0,8.0,24.0,7.0,3.0,0.68,0.85,1.28,1.0,2.0,1.0,41.71,34.0,33.53,3.0,0.48,1.91,0.35,2.94,2.93,2.82,115.0,33.0,9.0,20.0,53.0,15.0,12.0,28.0,60.0,0.0,0.0,14114.0,0.0,2.0,1.0,3.0,92.22,10.97,9.22,11.02,9.27,76.0,50.0,44.0,170.0,11.0,10.0,2.0,94.0,17.0,15.0,2.83,2.01,6.13,2.0,4.0,5.0,170.59,126.0,125.86,1.66,2.98,2.98,9.65,9.69,8.1,57.22,7.63,7.48,7.52,7.38,56.0,22.0,25.0,103.0,8.0,6.0,0.0,58.0,13.0,7.0,1.81,1.81,4.01,4.0,1.0,3.0,103.13,78.0,77.79,0.75,1.21,1.21,7.17,7.1,7.06,7.44,13.3,180.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,:6:5:4:3:2:1,:22:20:19:13:11:0,:4:4:5:4:6:0,:24:20:18:13:11:2,:4:4:4:3:2:0,:1:1:1:1:1:0,:3:3:3:1:1:0,:11:11:11:9:7:3,:2:2:3:3:4:3,:3:3:3:3:3:3,:2:2:2:1:1:0,:0:0:0:0:0:0,261,4,40,1,26,9,1,8,0,60,277,4,46,1,33,17,1,8,0,62,145,4,25,1,22,9,1,4,0,39
8477986,2025,Brandon Montour,SEA,D,all,4,5473.0,107.0,3.72,0.6,0.53,0.5,0.44,0.53,0.45,7.0,10.52,0.4,0.56,2.68,0.35,6.25,4.76,0.39,0.4,0.39,3.0,1.0,11.0,4.0,9.0,24.0,4.0,0.0,1.0,0.0,2.0,0.0,3.0,9.0,11.0,15.0,1.0,5.0,0.0,8.0,3.0,5.0,15.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,24.17,15.0,14.92,3.0,0.12,0.41,0.0,0.51,0.51,0.51,107.0,15.0,9.0,19.0,64.0,17.0,16.0,20.0,54.0,0.0,0.0,9728.0,5.0,5.0,1.0,9.0,50.78,4.55,4.44,4.58,4.47,44.0,25.0,25.0,94.0,4.0,4.0,2.0,54.0,11.0,4.0,1.65,1.4,1.49,0.0,2.0,2.0,94.94,69.0,69.59,0.75,1.36,1.36,3.94,3.98,3.93,44.01,3.05,2.99,3.08,3.02,38.0,24.0,33.0,95.0,0.0,3.0,0.0,51.0,11.0,0.0,1.46,1.59,0.0,0.0,0.0,0.0,95.25,62.0,62.43,0.61,0.35,0.35,3.31,3.35,3.3,7.92,6.95,143.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,:4:3:2:1,:11:10:7:4,:3:3:4:4,:11:9:6:3,:0:0:0:0,:0:0:0:0,:0:0:0:0,:4:2:1:1,:1:1:0:1,:3:2:1:1,:1:0:0:0,:0:0:0:0,242,3,16,0,26,31,1,4,0,110,168,3,8,0,6,19,0,1,0,59,231,3,18,0,10,13,0,1,0,94
8483524,2025,Shane Wright,SEA,C,all,5,4529.0,101.0,3.5,0.71,0.49,0.54,0.44,0.57,0.45,40.0,11.9,1.89,0.92,2.35,0.42,5.47,3.94,1.81,1.93,1.84,1.0,1.0,11.0,4.0,2.0,17.0,4.0,2.0,2.0,2.0,1.0,0.0,6.0,4.0,9.0,13.0,0.0,0.0,22.0,7.0,0.0,5.0,8.0,5.0,2.0,0.36,0.57,0.96,0.0,1.0,1.0,17.25,15.0,15.29,3.0,0.23,0.34,1.05,1.06,1.08,1.05,101.0,19.0,7.0,19.0,56.0,16.0,18.0,15.0,52.0,22.0,34.0,14458.0,0.0,0.0,0.0,1.0,40.55,4.42,4.29,4.48,4.35,38.0,16.0,22.0,76.0,5.0,3.0,2.0,40.0,11.0,3.0,1.33,1.39,1.71,1.0,2.0,2.0,77.09,54.0,54.94,0.6,1.05,1.05,3.97,4.02,3.94,28.77,1.79,1.78,1.78,1.77,27.0,13.0,25.0,65.0,1.0,2.0,0.0,33.0,6.0,1.0,0.76,0.82,0.21,0.0,0.0,1.0,63.88,40.0,39.48,0.36,0.2,0.2,1.96,1.94,1.93,10.55,10.92,214.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,:5:4:3:2:1,:11:6:0:0:0,:2:2:0:0:0,:12:8:3:2:0,:2:1:0:0:0,:0:0:0:0:0,:2:1:0:0:0,:5:3:2:1:1,:1:1:1:0:1,:1:1:1:0:0,:1:0:0:0:0,:2:1:0:0:0,4,0,1,0,0,1,0,0,0,2,12,2,4,0,1,0,0,0,0,3,91,1,19,0,15,10,0,3,0,54
8476422,2025,Mike Reilly,CAR,D,all,3,3345.0,85.0,4.5,0.59,0.61,0.6,0.59,0.63,0.6,14.0,6.6,0.16,0.29,2.2,0.21,3.49,2.65,0.16,0.18,0.17,2.0,0.0,8.0,1.0,4.0,13.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,8.0,9.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,14.22,9.0,9.77,1.0,0.06,0.0,0.02,0.2,0.22,0.21,85.0,9.0,9.0,14.0,53.0,18.0,11.0,9.0,47.0,0.0,0.0,7560.0,0.0,0.0,0.0,6.0,44.52,4.44,4.3,4.83,4.68,43.0,16.0,19.0,78.0,6.0,5.0,2.0,39.0,15.0,5.0,1.13,1.9,1.41,2.0,4.0,0.0,86.62,59.0,64.86,0.59,0.84,0.84,4.19,4.54,4.43,25.15,3.04,2.99,2.94,2.88,22.0,12.0,17.0,51.0,3.0,2.0,0.0,21.0,10.0,3.0,0.79,1.35,0.9,2.0,1.0,0.0,47.71,34.0,32.25,0.43,0.45,0.45,3.02,2.9,2.87,7.55,4.74,144.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,:3:2:1,:8:8:5,:3:4:5,:7:6:4,:0:0:0,:0:0:0,:0:0:0,:6:4:2,:2:2:2,:2:1:1,:0:0:0,:0:0:0,12,1,0,0,0,1,0,0,0,6,126,2,6,0,9,9,0,0,0,43,31,2,0,0,2,0,0,0,0,11
8480015,2025,Owen Tippett,PHI,R,all,5,4942.0,105.0,3.6,0.58,0.46,0.54,0.41,0.53,0.42,33.0,17.03,2.1,1.08,3.66,0.57,10.0,6.59,1.65,2.08,1.62,0.0,0.0,14.0,10.0,3.0,27.0,3.0,3.0,0.0,1.0,1.0,0.0,12.0,8.0,11.0,21.0,3.0,6.0,0.0,9.0,1.0,5.0,17.0,6.0,1.0,0.57,0.64,0.89,2.0,0.0,1.0,26.42,24.0,23.46,1.0,0.23,0.0,0.89,1.44,1.41,1.28,105.0,17.0,13.0,10.0,65.0,16.0,16.0,14.0,59.0,0.0,0.0,13498.0,6.0,2.0,1.0,2.0,41.88,4.85,4.29,4.78,4.22,34.0,23.0,22.0,79.0,4.0,2.0,1.0,35.0,19.0,3.0,1.17,2.18,1.5,3.0,0.0,1.0,77.84,57.0,56.03,0.61,1.08,1.08,4.38,4.31,4.09,35.76,3.47,3.44,3.47,3.44,32.0,18.0,17.0,67.0,1.0,2.0,0.0,40.0,6.0,4.0,1.11,0.79,1.57,0.0,0.0,1.0,68.08,50.0,50.58,0.42,0.47,0.47,3.42,3.43,3.42,10.52,12.23,158.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,:5:4:3:2:1,:14:9:7:3:1,:3:2:2:2:1,:17:11:9:4:1,:3:2:1:1:0,:1:0:0:0:0,:2:2:2:1:0,:4:3:1:1:0,:1:1:0:0:0,:0:0:0:0:0,:0:0:0:0:0,:1:1:1:1:0,231,3,27,0,11,11,0,2,0,69,289,4,28,0,17,8,0,2,0,58,188,2,20,0,16,7,0,0,0,53
8482122,2025,Brock Faber,MIN,D,all,6,8402.0,157.0,0.17,0.33,0.53,0.42,0.53,0.41,0.54,7.0,12.03,0.26,0.61,3.31,0.42,7.39,6.01,0.25,0.26,0.25,0.0,0.0,9.0,9.0,4.0,22.0,0.0,0.0,1.0,0.0,2.0,0.0,9.0,6.0,9.0,18.0,0.0,0.0,0.0,2.0,5.0,5.0,18.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,22.76,18.0,18.25,4.0,0.12,0.28,0.0,0.38,0.38,0.38,157.0,10.0,27.0,32.0,88.0,19.0,19.0,20.0,99.0,0.0,0.0,13655.0,0.0,0.0,0.0,10.0,55.75,4.06,3.99,4.0,3.92,55.0,22.0,34.0,111.0,2.0,3.0,0.0,62.0,11.0,4.0,1.34,1.44,1.29,1.0,1.0,0.0,111.1,77.0,76.31,0.66,0.74,0.74,3.98,3.94,3.9,80.37,8.37,7.88,8.28,7.8,82.0,29.0,45.0,156.0,10.0,8.0,1.0,81.0,20.0,10.0,2.48,2.8,3.09,5.0,1.0,4.0,155.91,111.0,110.33,1.24,1.42,1.42,8.19,8.12,7.87,14.34,12.56,239.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,:6:5:4:3:2:1,:9:8:8:5:5:2,:2:2:2:2:2:2,:12:9:9:7:6:3,:0:0:0:0:0:0,:0:0:0:0:0:0,:0:0:0:0:0:0,:2:1:1:1:1:1,:0:0:0:0:0:1,:0:0:0:0:0:0,:0:0:0:0:0:0,:0:0:0:0:0:0,1,0,0,0,0,0,0,0,0,2,136,2,8,0,18,21,0,2,0,111,124,2,10,0,6,13,0,0,0,108
